a,clava,imagem,própria,terra
adora,a
adorada,entre
amada,brasil,dos,idolatrada
amor,e,eterno
amores,
américa,iluminado
ao,sol,som
belo,és
berço,esplêndido
bosques,têm
brado,retumbante
brasil,,de,florão,um,ó
brasileiro,
braço,forte
brilhou,no
campos,têm
clava,forte
colosso,e
com,braço
conquistar,com
conseguimos,conquistar
cruzeiro,resplandece
céu,da,profundo,risonho
da,américa,justiça,liberdade,pátria
de,amor,esperança,um
deitado,eternamente
desafia,o
desce,se
dessa,flâmula,igualdade
deste,solo
diga,o
do,cruzeiro,céu,ipiranga,mar,novo,que
dos,filhos
e,de,diga,glória,límpido,o,à
em,berço,raios,teu
entre,outras
ergues,da
espelha,essa
esperança,à
esplêndido,ao
essa,grandeza
estrelado,e
eternamente,em
eterno,seja
filho,teu
filhos,deste
flores,nossos
florão,da
flâmula,paz
foge,à
formoso,céu
forte,em,impávido,verás
fulguras,ó
futuro,e,espelha
fúlgidos,brilhou
garrida,teus
gentil,pátria
gigante,pela
glória,no
grandeza,
heroico,o
hino,nacional
idolatrada,salve
igualdade,conseguimos
iluminado,ao
imagem,do
impávido,colosso
instante,
intenso,um
ipiranga,às
justiça,a
liberdade,desafia,em
lindos,campos
luta,nem
luz,do
lábaro,que
límpido,a
mais,amores,flores,garrida,vida
mar,e
margens,plácidas
mas,se
mil,és
morte,
mundo,
mãe,gentil
nacional,brasileiro
natureza,és
nem,teme
nesse,instante
no,céu,futuro,passado,teu
nossa,vida
nosso,peito
nossos,bosques
novo,mundo
não,foge
o,brado,lábaro,nosso,penhor,sol,teu,verdelouro
ostentas,estrelado
outras,mil
ouviram,do
passado,
paz,no
peito,a
pela,própria
penhor,dessa
plácidas,de
povo,heroico
profundo,fulguras
própria,morte,natureza
pátria,amada,nesse
que,a,ostentas,um
quem,te
raio,vívido
raios,fúlgidos
resplandece,
retumbante,e
risonho,e
risonhos,lindos
salve,,salve
se,em,ergues,o
seio,mais,ó
seja,símbolo
sol,da,do
solo,és
som,do
sonho,intenso
símbolo,o
te,adora
teme,quem
terra,adorada,desce,mais
teu,formoso,futuro,não,seio
teus,risonhos
tu,brasil
têm,mais
um,filho,povo,raio,sonho
verdelouro,dessa
verás,que
vida,no,nossa
vívido,de
à,luta,luz,terra
às,margens
és,belo,forte,mãe,tu
ó,brasil,liberdade,pátria
